Complaint ID,Citizen Name,Phone,Aadhaar,Complaint,AI Classification,Priority,Department,Date,Status
C0001,Citizen1,9929782378,XXXX XXXX 4715,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-04,Open
C0002,Citizen2,9503773242,XXXX XXXX 4081,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-23,Open
C0003,Citizen3,9338022976,XXXX XXXX 4735,Bank account hacked,Cyber Crime,High,Local Police,2026-04-17,Open
C0004,Citizen4,9063718646,XXXX XXXX 4607,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-05,Open
C0005,Citizen5,9954983944,XXXX XXXX 9624,Neighbor attacked me,Assault,Medium,Local Police,2026-02-23,Open
C0006,Citizen6,9112424905,XXXX XXXX 7968,Someone stole my bike,Theft,Medium,Local Police,2026-01-18,Open
C0007,Citizen7,9889206011,XXXX XXXX 2711,Someone stole my bike,Theft,Medium,Local Police,2026-04-16,Open
C0008,Citizen8,9547735400,XXXX XXXX 8557,Neighbor attacked me,Assault,Medium,Local Police,2026-01-19,Open
C0009,Citizen9,9421014131,XXXX XXXX 7000,Neighbor attacked me,Assault,Medium,Local Police,2026-04-07,Open
C0010,Citizen10,9269587995,XXXX XXXX 6751,Neighbor attacked me,Assault,Medium,Local Police,2026-07-05,Open
C0011,Citizen11,9235850994,XXXX XXXX 2529,Online scam,Fraud,High,Local Police,2026-03-03,Open
C0012,Citizen12,9153015181,XXXX XXXX 8006,Neighbor attacked me,Assault,Medium,Local Police,2026-01-21,Open
C0013,Citizen13,9027146356,XXXX XXXX 2011,Someone stole my bike,Theft,Medium,Local Police,2026-06-15,Open
C0014,Citizen14,9618234693,XXXX XXXX 6488,My car was stolen,Vehicle Theft,Medium,Local Police,2026-06-07,Open
C0015,Citizen15,9407364856,XXXX XXXX 5708,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-24,Open
C0016,Citizen16,9576909816,XXXX XXXX 1970,Bank account hacked,Cyber Crime,High,Local Police,2026-07-08,Open
C0017,Citizen17,9718372604,XXXX XXXX 6573,Online scam,Fraud,High,Local Police,2026-03-08,Open
C0018,Citizen18,9473401807,XXXX XXXX 6364,My car was stolen,Vehicle Theft,Medium,Local Police,2026-07-04,Open
C0019,Citizen19,9769711342,XXXX XXXX 4499,My car was stolen,Vehicle Theft,Medium,Local Police,2026-04-24,Open
C0020,Citizen20,9332848973,XXXX XXXX 1038,Someone stole my bike,Theft,Medium,Local Police,2026-05-25,Open
C0021,Citizen21,9017420582,XXXX XXXX 6301,Online scam,Fraud,High,Local Police,2026-04-03,Open
C0022,Citizen22,9024317191,XXXX XXXX 8076,My car was stolen,Vehicle Theft,Medium,Local Police,2026-02-10,Open
C0023,Citizen23,9751455835,XXXX XXXX 5025,Online scam,Fraud,High,Local Police,2026-06-22,Open
C0024,Citizen24,9689439470,XXXX XXXX 9885,Neighbor attacked me,Assault,Medium,Local Police,2026-03-15,Open
C0025,Citizen25,9468034775,XXXX XXXX 2843,Neighbor attacked me,Assault,Medium,Local Police,2026-04-21,Open
C0026,Citizen26,9310067799,XXXX XXXX 6351,Online scam,Fraud,High,Local Police,2026-04-21,Open
C0027,Citizen27,9557409633,XXXX XXXX 3234,Neighbor attacked me,Assault,Medium,Local Police,2026-07-02,Open
C0028,Citizen28,9726183630,XXXX XXXX 7834,Online scam,Fraud,High,Local Police,2026-04-14,Open
C0029,Citizen29,9476189923,XXXX XXXX 3550,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-20,Open
C0030,Citizen30,9909836237,XXXX XXXX 9349,Neighbor attacked me,Assault,Medium,Local Police,2026-05-02,Open
C0031,Citizen31,9414213295,XXXX XXXX 8157,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-27,Open
C0032,Citizen32,9475494531,XXXX XXXX 1327,Neighbor attacked me,Assault,Medium,Local Police,2026-03-16,Open
C0033,Citizen33,9662091900,XXXX XXXX 5727,Online scam,Fraud,High,Local Police,2026-05-21,Open
C0034,Citizen34,9252160522,XXXX XXXX 8317,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-07,Open
C0035,Citizen35,9240440782,XXXX XXXX 5897,My car was stolen,Vehicle Theft,Medium,Local Police,2026-06-15,Open
C0036,Citizen36,9289493035,XXXX XXXX 1965,Bank account hacked,Cyber Crime,High,Local Police,2026-03-22,Open
C0037,Citizen37,9433521517,XXXX XXXX 9357,My car was stolen,Vehicle Theft,Medium,Local Police,2026-03-25,Open
C0038,Citizen38,9492426154,XXXX XXXX 7092,Neighbor attacked me,Assault,Medium,Local Police,2026-06-19,Open
C0039,Citizen39,9782991271,XXXX XXXX 7200,Neighbor attacked me,Assault,Medium,Local Police,2026-06-18,Open
C0040,Citizen40,9840281629,XXXX XXXX 4673,Someone stole my bike,Theft,Medium,Local Police,2026-03-07,Open
C0041,Citizen41,9492475090,XXXX XXXX 7962,Online scam,Fraud,High,Local Police,2026-01-21,Open
C0042,Citizen42,9905865255,XXXX XXXX 3720,My car was stolen,Vehicle Theft,Medium,Local Police,2026-01-02,Open
C0043,Citizen43,9292318386,XXXX XXXX 9605,Someone stole my bike,Theft,Medium,Local Police,2026-06-23,Open
C0044,Citizen44,9184104810,XXXX XXXX 4191,Bank account hacked,Cyber Crime,High,Local Police,2026-05-01,Open
C0045,Citizen45,9783053594,XXXX XXXX 7990,Neighbor attacked me,Assault,Medium,Local Police,2026-02-12,Open
C0046,Citizen46,9016301699,XXXX XXXX 5971,Someone stole my bike,Theft,Medium,Local Police,2026-03-07,Open
C0047,Citizen47,9186972249,XXXX XXXX 8198,Bank account hacked,Cyber Crime,High,Local Police,2026-04-17,Open
C0048,Citizen48,9117856501,XXXX XXXX 2739,Someone stole my bike,Theft,Medium,Local Police,2026-02-23,Open
C0049,Citizen49,9499918590,XXXX XXXX 9647,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-01,Open
C0050,Citizen50,9732127179,XXXX XXXX 3296,Neighbor attacked me,Assault,Medium,Local Police,2026-06-09,Open
C0051,Citizen51,9772306660,XXXX XXXX 5588,Neighbor attacked me,Assault,Medium,Local Police,2026-06-02,Open
C0052,Citizen52,9889467578,XXXX XXXX 8244,Someone stole my bike,Theft,Medium,Local Police,2026-04-15,Open
C0053,Citizen53,9062024558,XXXX XXXX 9269,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-18,Open
C0054,Citizen54,9449691727,XXXX XXXX 7492,Online scam,Fraud,High,Local Police,2026-07-01,Open
C0055,Citizen55,9361091685,XXXX XXXX 5366,My car was stolen,Vehicle Theft,Medium,Local Police,2026-05-06,Open
C0056,Citizen56,9948732941,XXXX XXXX 3212,Bank account hacked,Cyber Crime,High,Local Police,2026-01-20,Open
C0057,Citizen57,9617328922,XXXX XXXX 9622,Bank account hacked,Cyber Crime,High,Local Police,2026-01-01,Open
