criminal_id,name,age,gender,aadhaar,phone,address,district,previous_firs,arrest_history,status
CR0001,Person1,33,Female,XXXX XXXX 1001,9806398997,House 1,Karimnagar,3,No,Active
CR0002,Person2,54,Male,XXXX XXXX 1002,9003200565,House 2,Warangal,3,Yes,Released
CR0003,Person3,29,Female,XXXX XXXX 1003,9382748754,House 3,Hyderabad,4,No,Active
CR0004,Person4,28,Male,XXXX XXXX 1004,9811584448,House 4,Medchal-Malkajgiri,3,No,Active
CR0005,Person5,22,Female,XXXX XXXX 1005,9144034830,House 5,Karimnagar,1,Yes,Active
CR0006,Person6,46,Male,XXXX XXXX 1006,9049933008,House 6,Medchal-Malkajgiri,4,Yes,Released
CR0007,Person7,23,Male,XXXX XXXX 1007,9256191500,House 7,Karimnagar,2,Yes,Active
CR0008,Person8,60,Female,XXXX XXXX 1008,9254804150,House 8,Karimnagar,5,No,Released
CR0009,Person9,34,Female,XXXX XXXX 1009,9029571991,House 9,Medchal-Malkajgiri,0,Yes,Released
CR0010,Person10,49,Female,XXXX XXXX 1010,9019418795,House 10,Medchal-Malkajgiri,2,No,Active
CR0011,Person11,38,Male,XXXX XXXX 1011,9985289373,House 11,Rangareddy,0,No,Active
CR0012,Person12,58,Female,XXXX XXXX 1012,9395513884,House 12,Karimnagar,5,Yes,Released
CR0013,Person13,55,Female,XXXX XXXX 1013,9935830195,House 13,Rangareddy,4,Yes,Released
CR0014,Person14,39,Male,XXXX XXXX 1014,9721033894,House 14,Warangal,0,No,Released
CR0015,Person15,55,Male,XXXX XXXX 1015,9298500195,House 15,Rangareddy,3,No,Released
CR0016,Person16,51,Female,XXXX XXXX 1016,9060832153,House 16,Karimnagar,4,No,Active
CR0017,Person17,58,Male,XXXX XXXX 1017,9398455329,House 17,Hyderabad,5,Yes,Active
CR0018,Person18,22,Female,XXXX XXXX 1018,9826431070,House 18,Hyderabad,4,Yes,Released
CR0019,Person19,47,Female,XXXX XXXX 1019,9403709790,House 19,Hyderabad,5,No,Released
