User ID,Name,Badge ID,Email,Password (Hashed),Role,Police Station,District,Phone,Status
U001,Officer1,TG1001,officer1@tsp.gov.in,hashed_password,Officer,Madhapur PS,Medchal-Malkajgiri,9952883758,Active
U002,Officer2,TG1002,officer2@tsp.gov.in,hashed_password,Officer,Madhapur PS,Rangareddy,9938774040,Active
U003,Officer3,TG1003,officer3@tsp.gov.in,hashed_password,Officer,Madhapur PS,Warangal,9894061462,Active
U004,Officer4,TG1004,officer4@tsp.gov.in,hashed_password,Officer,Madhapur PS,Karimnagar,9362283505,Active
U005,Officer5,TG1005,officer5@tsp.gov.in,hashed_password,Officer,Madhapur PS,Hyderabad,9858777583,Active
U006,Officer6,TG1006,officer6@tsp.gov.in,hashed_password,Officer,Begumpet PS,Rangareddy,9723593227,Active
U007,Officer7,TG1007,officer7@tsp.gov.in,hashed_password,Officer,Begumpet PS,Karimnagar,9191660360,Active
U008,Officer8,TG1008,officer8@tsp.gov.in,hashed_password,Officer,Gachibowli PS,Warangal,9921307586,Active
U009,Officer9,TG1009,officer9@tsp.gov.in,hashed_password,Officer,Gachibowli PS,Medchal-Malkajgiri,9512749556,Active
U010,Officer10,TG1010,officer10@tsp.gov.in,hashed_password,Officer,Begumpet PS,Hyderabad,9405548538,Active
U011,Officer11,TG1011,officer11@tsp.gov.in,hashed_password,Officer,Gachibowli PS,Medchal-Malkajgiri,9405214419,Active
U012,Officer12,TG1012,officer12@tsp.gov.in,hashed_password,Officer,Kukatpally PS,Karimnagar,9623455680,Active
U013,Officer13,TG1013,officer13@tsp.gov.in,hashed_password,Officer,Gachibowli PS,Warangal,9091292821,Active
U014,Officer14,TG1014,officer14@tsp.gov.in,hashed_password,Officer,Gachibowli PS,Rangareddy,9695971421,Active
U015,Officer15,TG1015,officer15@tsp.gov.in,hashed_password,Officer,Gachibowli PS,Hyderabad,9656110103,Active
U016,Officer16,TG1016,officer16@tsp.gov.in,hashed_password,Officer,Kukatpally PS,Hyderabad,9117767825,Active
U017,Officer17,TG1017,officer17@tsp.gov.in,hashed_password,Officer,Kukatpally PS,Medchal-Malkajgiri,9695571866,Active
U018,Officer18,TG1018,officer18@tsp.gov.in,hashed_password,Officer,Banjara Hills PS,Karimnagar,9310053720,Active
U019,Officer19,TG1019,officer19@tsp.gov.in,hashed_password,Officer,Gachibowli PS,Warangal,9070928102,Active
U020,Officer20,TG1020,officer20@tsp.gov.in,hashed_password,Officer,Kukatpally PS,Karimnagar,9960231410,Active
U021,Officer21,TG1021,officer21@tsp.gov.in,hashed_password,Officer,Madhapur PS,Warangal,9444813569,Active
U022,Officer22,TG1022,officer22@tsp.gov.in,hashed_password,Officer,Banjara Hills PS,Karimnagar,9712598943,Active
U023,Officer23,TG1023,officer23@tsp.gov.in,hashed_password,Officer,Banjara Hills PS,Karimnagar,9293635092,Active
U024,Officer24,TG1024,officer24@tsp.gov.in,hashed_password,Officer,Kukatpally PS,Hyderabad,9220269001,Active
U025,Officer25,TG1025,officer25@tsp.gov.in,hashed_password,Officer,Begumpet PS,Warangal,9924521979,Active
U026,Officer26,TG1026,officer26@tsp.gov.in,hashed_password,Officer,Kukatpally PS,Warangal,9314381317,Active
U027,Officer27,TG1027,officer27@tsp.gov.in,hashed_password,Officer,Banjara Hills PS,Rangareddy,9965637976,Active
U028,Officer28,TG1028,officer28@tsp.gov.in,hashed_password,Officer,Kukatpally PS,Hyderabad,9323781351,Active
U029,Officer29,TG1029,officer29@tsp.gov.in,hashed_password,Officer,Gachibowli PS,Hyderabad,9059327759,Active
U030,Officer30,TG1030,officer30@tsp.gov.in,hashed_password,Officer,Begumpet PS,Rangareddy,9315395184,Active
U031,Officer31,TG1031,officer31@tsp.gov.in,hashed_password,Officer,Madhapur PS,Medchal-Malkajgiri,9426321396,Active
